# Generated by scripts/design/build-symbol-logos.py — do not hand-edit.
# symbol  source

$pac         crypto-icons
0xbtc        crypto-icons
1inch        crypto-icons
2give        crypto-icons
aave         crypto-icons
abt          crypto-icons
ach          binance-icons/crypto
acm          binance-icons/crypto
act          crypto-icons
ada          binance-icons/crypto
adadown      binance-icons/crypto
adaup        binance-icons/crypto
add          crypto-icons
adx          crypto-icons
ae           crypto-icons
aeon         crypto-icons
agi          crypto-icons
agix         binance-icons/crypto
agld         binance-icons/crypto
agrs         crypto-icons
aion         crypto-icons
algo         crypto-icons
alice        binance-icons/crypto
amb          crypto-icons
amp          crypto-icons
ampl         crypto-icons
ankr         crypto-icons
ant          crypto-icons
apex         crypto-icons
appc         crypto-icons
arb          binance (raster)
ardr         crypto-icons
arg          crypto-icons
ark          crypto-icons
arn          crypto-icons
arnx         crypto-icons
ary          crypto-icons
ast          crypto-icons
atlas        crypto-icons
atm          crypto-icons
atom         crypto-icons
auction      binance-icons/crypto
audr         crypto-icons
aury         crypto-icons
auto         crypto-icons
avax         crypto-icons
axs          binance-icons/crypto
axsold       binance-icons/crypto
aywa         crypto-icons
bab          crypto-icons
bal          crypto-icons
band         crypto-icons
bar          binance-icons/crypto
bat          crypto-icons
bay          crypto-icons
bcbc         crypto-icons
bcc          crypto-icons
bcd          crypto-icons
bch          crypto-icons
bchdown      binance-icons/crypto
bchsv        binance-icons/crypto
bchup        binance-icons/crypto
bcio         crypto-icons
bcn          crypto-icons
bco          crypto-icons
bcpt         crypto-icons
bdl          crypto-icons
bdot         binance-icons/crypto
beam         crypto-icons
bear         binance-icons/crypto
bel          binance-icons/crypto
bela         crypto-icons
beth         binance-icons/crypto
bgbp         binance-icons/crypto
bico         binance-icons/crypto
bidr         binance-icons/crypto
bifi         binance-icons/crypto
bix          crypto-icons
bkrw         binance-icons/crypto
blcn         crypto-icons
blink        binance-icons/crypto
blk          crypto-icons
block        crypto-icons
blz          crypto-icons
bnb          crypto-icons
bnbbear      binance-icons/crypto
bnbbull      binance-icons/crypto
bnc          binance-icons/crypto
bnt          crypto-icons
bnty         crypto-icons
boba         binance-icons/crypto
booty        crypto-icons
bos          crypto-icons
bot          binance-icons/crypto
bpt          crypto-icons
bq           crypto-icons
brd          crypto-icons
bsd          crypto-icons
bsv          crypto-icons
btc          crypto-icons
btcd         crypto-icons
btcdown      binance-icons/crypto
btch         crypto-icons
btcp         crypto-icons
btcst        binance-icons/crypto
btcup        binance-icons/crypto
btcz         crypto-icons
btdx         crypto-icons
btg          crypto-icons
btm          crypto-icons
bts          crypto-icons
btt          crypto-icons
bttold       binance-icons/crypto
btx          crypto-icons
bull         binance-icons/crypto
burst        crypto-icons
bvnd         binance-icons/crypto
bze          crypto-icons
c98          binance-icons/crypto
call         crypto-icons
can          binance-icons/crypto
cbk          binance-icons/crypto
cbm          binance-icons/crypto
cc           crypto-icons
cdn          crypto-icons
cdt          crypto-icons
celo         binance-icons/crypto
celr         binance-icons/crypto
cenz         crypto-icons
cfx          binance-icons/crypto
chain        crypto-icons
chat         crypto-icons
chess        binance-icons/crypto
chips        crypto-icons
chr          binance-icons/crypto
chsb         crypto-icons
chz          crypto-icons
cix          crypto-icons
ckb          binance-icons/crypto
clam         crypto-icons
cloak        crypto-icons
clv          binance-icons/crypto
cmm          crypto-icons
cmt          crypto-icons
cnd          crypto-icons
cnx          crypto-icons
cny          crypto-icons
cob          crypto-icons
cocos        binance-icons/crypto
colx         crypto-icons
comp         crypto-icons
coqui        crypto-icons
cover        binance-icons/crypto
coverold     binance-icons/crypto
cream        binance-icons/crypto
cred         crypto-icons
crpt         crypto-icons
crv          crypto-icons
crw          crypto-icons
cs           crypto-icons
ctk          binance-icons/crypto
ctr          crypto-icons
ctsi         binance-icons/crypto
ctxc         crypto-icons
cvc          crypto-icons
cvp          binance-icons/crypto
cvx          binance-icons/crypto
dai          crypto-icons
dash         crypto-icons
dat          crypto-icons
data         crypto-icons
dbc          crypto-icons
dcn          crypto-icons
dcr          crypto-icons
deez         crypto-icons
dego         binance-icons/crypto
dent         crypto-icons
dew          crypto-icons
df           binance-icons/crypto
dgb          crypto-icons
dgd          crypto-icons
dia          binance-icons/crypto
dlt          crypto-icons
dnt          crypto-icons
dock         crypto-icons
doge         crypto-icons
don          binance-icons/crypto
dot          crypto-icons
dotdown      binance-icons/crypto
dotup        binance-icons/crypto
drgn         crypto-icons
drop         crypto-icons
dta          crypto-icons
dth          crypto-icons
dtr          crypto-icons
dusk         binance-icons/crypto
ebst         crypto-icons
eca          crypto-icons
edg          crypto-icons
edo          crypto-icons
edoge        crypto-icons
efi          binance-icons/crypto
egld         binance-icons/crypto
ela          crypto-icons
elec         crypto-icons
elf          crypto-icons
elix         crypto-icons
ella         crypto-icons
emb          crypto-icons
emc          crypto-icons
emc2         crypto-icons
eng          crypto-icons
enj          crypto-icons
entrp        crypto-icons
eon          crypto-icons
eop          crypto-icons
eos          crypto-icons
eosbear      binance-icons/crypto
eosbull      binance-icons/crypto
eosdown      binance-icons/crypto
eosup        binance-icons/crypto
eqli         crypto-icons
equa         crypto-icons
erd          binance-icons/crypto
ern          binance-icons/crypto
etc          crypto-icons
eth          crypto-icons
ethbear      binance-icons/crypto
ethbnt       binance-icons/crypto
ethbull      binance-icons/crypto
ethdown      binance-icons/crypto
ethos        crypto-icons
ethup        binance-icons/crypto
etn          crypto-icons
etp          crypto-icons
eur          crypto-icons
evx          crypto-icons
exmo         crypto-icons
exp          crypto-icons
fair         crypto-icons
fct          crypto-icons
fet          binance-icons/crypto
fida         crypto-icons
fil          crypto-icons
fio          binance-icons/crypto
fis          binance-icons/crypto
fjc          crypto-icons
fldc         crypto-icons
flo          crypto-icons
floki        tv-logos/crypto
flow         binance-icons/crypto
flr          tv-logos/crypto
flux         crypto-icons
for          binance-icons/crypto
forth        binance-icons/crypto
fsn          crypto-icons
ftc          crypto-icons
ftm          binance-icons/crypto
fuel         crypto-icons
fun          crypto-icons
gal          binance-icons/crypto
gala         binance-icons/crypto
game         crypto-icons
gas          crypto-icons
gbp          crypto-icons
gbx          crypto-icons
gbyte        crypto-icons
generic      crypto-icons
ghst         binance-icons/crypto
gin          crypto-icons
glm          binance-icons/crypto
glmr         binance-icons/crypto
glxt         crypto-icons
gmr          crypto-icons
gmt          crypto-icons
gno          crypto-icons
gnt          crypto-icons
go           binance-icons/crypto
gold         crypto-icons
grc          crypto-icons
grin         crypto-icons
grs          crypto-icons
grt          binance-icons/crypto
grtdown      binance-icons/crypto
grtup        binance-icons/crypto
gsc          crypto-icons
gtc          binance-icons/crypto
gto          crypto-icons
gup          crypto-icons
gusd         crypto-icons
gvt          crypto-icons
gxs          crypto-icons
gyen         binance-icons/crypto
gzr          crypto-icons
hard         binance-icons/crypto
hc           binance-icons/crypto
hegic        binance-icons/crypto
hight        crypto-icons
hive         binance-icons/crypto
hns          crypto-icons
hnst         binance-icons/crypto
hnt          binance-icons/crypto
hodl         crypto-icons
hot          crypto-icons
hpb          crypto-icons
hsr          crypto-icons
ht           crypto-icons
html         crypto-icons
huc          crypto-icons
husd         crypto-icons
hush         crypto-icons
icn          crypto-icons
icp          crypto-icons
icx          crypto-icons
