# key	class	module — see tools/i18n/lint_strings.py (note policy)
admin_capabilities_note	admin	feature/admin
admin_device_note	admin	feature/admin
admin_export_body	admin	feature/admin
admin_failures_body	admin	feature/admin
admin_lock_body	admin	feature/admin
admin_log_persisted_note	admin	feature/admin
admin_log_verbosity_note	admin	feature/admin
admin_masking_note	admin	feature/admin
admin_probe_body	admin	feature/admin
admin_relay_note	admin	feature/admin
admin_session_note	admin	feature/admin
admin_venue_note	admin	feature/admin
admin_verdict_note	admin	feature/admin
feature_academy_body	catalogue	core/designsystem
feature_activity_body	catalogue	core/designsystem
feature_ai_body	catalogue	core/designsystem
feature_alerts_body	catalogue	core/designsystem
feature_assistant_body	catalogue	core/designsystem
feature_backtest_body	catalogue	core/designsystem
feature_calendar_body	catalogue	core/designsystem
feature_connections_body	catalogue	core/designsystem
feature_copy_body	catalogue	core/designsystem
feature_heatmap_body	catalogue	core/designsystem
feature_journal_body	catalogue	core/designsystem
feature_membership_body	catalogue	core/designsystem
feature_news_body	catalogue	core/designsystem
feature_notifications_body	catalogue	core/designsystem
feature_paper_body	catalogue	core/designsystem
feature_portfolio_body	catalogue	core/designsystem
feature_profile_body	catalogue	core/designsystem
feature_safety_body	catalogue	core/designsystem
feature_screener_body	catalogue	core/designsystem
feature_script_body	catalogue	core/designsystem
feature_setup_body	catalogue	core/designsystem
feature_signals_body	catalogue	core/designsystem
feature_studio_body	catalogue	core/designsystem
feature_terminal_body	catalogue	core/designsystem
feature_toolkit_body	catalogue	core/designsystem
feature_verify_body	catalogue	core/designsystem
feature_vision_body	catalogue	core/designsystem
feature_watchlist_body	catalogue	core/designsystem
alerts_message_hint	label	feature/alerts
community_compose_hint	label	feature/community
journal_note	label	feature/journal
webhooks_name_hint	label	feature/alerts
academy_locked_phone_body	state	feature/academy
academy_locked_tier_body	state	feature/academy
activity_alerts_body	state	feature/activity
activity_executions_empty_body	state	feature/activity
activity_executions_unavailable_body	state	feature/activity
activity_filtered_empty_body	state	feature/activity
activity_history_empty_body	state	feature/activity
activity_history_locked_body	state	feature/activity
activity_history_unavailable_body	state	feature/activity
activity_notifications_empty_body	state	feature/activity
activity_partial_body	state	feature/activity
activity_refresh_failed_body	state	feature/activity
ai_assistant_body	state	feature/ai
ai_chart_analysis_body	state	feature/ai
ai_working_body	state	feature/ai
alerts_audit_empty_hint	state	feature/alerts
alerts_centre_empty_hint	state	feature/alerts
announcements_empty_hint	state	feature/news
assistant_empty_body	state	feature/ai-assistant
assistant_unavailable_body	state	feature/ai-assistant
auth_forgot_body	state	feature/auth
auth_reset_body	state	feature/auth
auth_verify_body	state	feature/auth
chart_seconds_warming_hint	state	feature/chart
community_empty_hint	state	feature/community
community_locked_hint	state	feature/community
community_name_body	state	feature/community
community_unreadable_hint	state	feature/community
connections_unsupported_body	state	feature/connections
copy_unavailable_body	state	feature/copytrade
dom_empty_hint	state	feature/dom
dom_failed_hint	state	feature/dom
dom_outage_exchange_hint	state	feature/dom
dom_outage_relay_hint	state	feature/dom
dom_unavailable_delisted_hint	state	feature/dom
dom_unavailable_endpoint_hint	state	feature/dom
dom_unavailable_feed_hint	state	feature/dom
dom_unavailable_session_hint	state	feature/dom
dom_unavailable_symbol_hint	state	feature/dom
guest_ai_body	state	feature/guest
guest_signals_body	state	feature/guest
heatmap_empty_hint	state	feature/heatmap
home_agent_resting_body	state	feature/home
home_agent_working_body	state	feature/home
home_value_missing_note	state	feature/home
journal_empty_hint	state	feature/journal
journal_no_match_hint	state	feature/journal
news_article_gone_hint	state	feature/news
news_none_readable_hint	state	feature/news
news_saved_empty_hint	state	feature/news
news_timestamp_note	state	feature/news
portfolio_report_empty_hint	state	feature/portfolio
profile_signin_body	state	feature/profile
replay_report_open_note	state	feature/chart
screener_empty_hint	state	feature/screener
search_empty_hint	state	feature/search
signals_empty_active_hint	state	feature/signals
signals_empty_closed_hint	state	feature/signals
signals_empty_recent_hint	state	feature/signals
signals_membership_body	state	feature/signals
vision_waiting_note	state	feature/ai-vision
watchlist_empty_hint	state	feature/search
watchlist_import_hint	state	feature/search
widget_configure_body	state	app
alert_fired_body	system	app
channel_price_alert_loud_note	system	app
channel_price_alert_vibrate_note	system	app
notify_account_note	system	app
notify_ai_setup_note	system	app
notify_announcement_note	system	app
notify_calendar_note	system	app
notify_copy_closed_note	system	app
notify_copy_failed_note	system	app
notify_copy_opened_note	system	app
notify_marketing_note	system	app
notify_new_signal_note	system	app
notify_news_note	system	app
notify_price_alert_note	system	app
notify_security_note	system	app
notify_signal_closed_note	system	app
notify_stop_hit_note	system	app
notify_target_hit_note	system	app
notify_watchlist_move_note	system	app
academy_video_note	tip	feature/academy
activity_note	tip	feature/activity
activity_zero_note	tip	feature/activity
ai_group_how_hint	tip	feature/ai
ai_group_size_hint	tip	feature/ai
ai_timeframe_scope_note	tip	feature/ai
ai_timeframe_server_note	tip	feature/ai
alerts_drawing_note	tip	feature/alerts
alerts_scope_list_note	tip	feature/alerts
alerts_sound_normal_note	tip	feature/alerts
appearance_dark_note	tip	feature/profile
appearance_language_note	tip	feature/profile
appearance_light_note	tip	feature/profile
appearance_system_note	tip	feature/profile
avatar_photo_note	tip	feature/profile
calendar_impact_unknown_note	tip	feature/calendar
calendar_timezone_note	tip	feature/calendar
chart_events_settings_note	tip	core/chartevents
chart_interval_seconds_note	tip	feature/chart
chart_more_alert_note	tip	feature/chart
chart_more_backtest_note	tip	feature/chart
chart_more_compare_note	tip	feature/chart
chart_more_events_note	tip	feature/chart
chart_more_layouts_note	tip	feature/chart
chart_more_redo_note	tip	feature/chart
chart_more_share_note	tip	feature/chart
chart_more_span_note	tip	feature/chart
chart_more_studio_note	tip	feature/chart
chart_more_undo_note	tip	feature/chart
connections_mt5_copy_note	tip	feature/connections
connections_mt5_locked_note	tip	feature/connections
copy_events_note	tip	feature/copytrade
copy_terms_note	tip	feature/copytrade
detail_execute_note	tip	feature/signal-detail
dom_data_note	tip	feature/dom
dom_imbalance_note	tip	feature/dom
dom_orders_note	tip	feature/dom
dom_step_note	tip	feature/dom
drawing_settings_lock_note	tip	feature/chart
drawing_settings_timeframe_note	tip	feature/chart
guest_greeting_note	tip	feature/guest
heatmap_density_note	tip	feature/heatmap
heatmap_grouping_note	tip	feature/heatmap
heatmap_palette_note	tip	feature/heatmap
heatmap_size_note	tip	feature/heatmap
heatmap_size_volume_note	tip	feature/heatmap
indicator_settings_length_note	tip	feature/chart
indicator_settings_show_note	tip	feature/chart
membership_access_exchange_uid_note	tip	feature/membership
notifications_alerts_local_note	tip	feature/notifications
notifications_channel_note	tip	feature/notifications
notifications_quiet_note	tip	feature/notifications
pane_sync_crosshair_note	tip	feature/chart
pane_sync_interval_note	tip	feature/chart
pane_sync_symbol_note	tip	feature/chart
pane_sync_time_range_note	tip	feature/chart
portfolio_curve_profit_note	tip	feature/portfolio
portfolio_report_drawdown_note	tip	feature/portfolio
portfolio_report_peak_note	tip	feature/portfolio
portfolio_report_ratio_note	tip	feature/portfolio
portfolio_report_runup_note	tip	feature/portfolio
profile_action_membership_note	tip	app
profile_action_notifications_note	tip	app
profile_action_safety_note	tip	app
profile_action_support_note	tip	app
profile_identity_hint	tip	feature/profile
profile_library_note	tip	feature/profile
profile_local_note	tip	feature/profile
profile_signin_note	tip	feature/profile
replay_ledger_note	tip	feature/chart
replay_report_note	tip	feature/chart
screener_free_note	tip	feature/screener
tool_compound_body	tip	feature/tools
tool_crypto_body	tip	feature/tools
tool_drawdown_body	tip	feature/tools
tool_pip_body	tip	feature/tools
tool_position_body	tip	feature/tools
tool_profit_body	tip	feature/tools
tool_risk_body	tip	feature/tools
tool_rr_body	tip	feature/tools
tools_connected_body	tip	feature/tools
tools_note	tip	feature/tools
tools_pnl_group_body	tip	feature/tools
tools_risk_group_body	tip	feature/tools
vision_prepared_note	tip	feature/ai-vision
watchlist_sync_note	tip	core/watchlistsync
alerts_delete_body	visible	feature/alerts
alerts_sound_loud_note	visible	feature/alerts
alerts_venue_device_note	visible	feature/alerts
alerts_venue_server_note	visible	feature/alerts
auth_password_hint	visible	feature/auth
connections_disconnect_body	visible	feature/connections
connections_lbank_body	visible	feature/connections
